hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,n_models,mean_subset_size,dataset,ideal_ratio,seed
0.0687799043062201,0.5789473684210527,0.5965473734548334,0.2443155582126695,0.6875,41,3.5121951219512195,Gnegative,0.25,0
0.0765550239234449,0.5382775119617225,0.5386118242222894,0.2103832812194645,0.6454293628808865,50,2.98,Gnegative,0.25,1
0.0705741626794258,0.569377990430622,0.5832767305977133,0.2114781189858589,0.6758241758241759,47,3.234042553191489,Gnegative,0.25,2
0.0789473684210526,0.5191387559808612,0.5386360767555385,0.222501325389412,0.6343490304709142,36,3.055555555555556,Gnegative,0.25,3
0.0732655502392344,0.5430622009569378,0.5634155915063653,0.2287949162923642,0.6573426573426573,47,3.191489361702128,Gnegative,0.25,4
0.0687799043062201,0.5526315789473685,0.5821072959770363,0.216784105417841,0.6778711484593838,46,3.4130434782608696,Gnegative,0.3333,0
0.0771531100478468,0.4976076555023923,0.5350333346224583,0.2225568396672338,0.6239067055393586,40,3.025,Gnegative,0.3333,1
0.0675837320574162,0.5956937799043063,0.6250591479630001,0.2777353768076737,0.6954177897574124,46,3.369565217391304,Gnegative,0.3333,2
0.0792464114832535,0.4904306220095694,0.5324437497220051,0.223276484704457,0.6187050359712231,41,3.1463414634146343,Gnegative,0.3333,3
0.0702751196172248,0.5645933014354066,0.5809976678290912,0.2445517583664208,0.6749654218533887,47,3.6808510638297873,Gnegative,0.3333,4
0.0684808612440191,0.562200956937799,0.5944770492294777,0.2427491830065359,0.6823855755894591,55,4.2,Gnegative,0.5,0
0.0795454545454545,0.5598086124401914,0.5524029533618363,0.2391457358531045,0.6462765957446809,40,3.925,Gnegative,0.5,1
0.069377990430622,0.5789473684210527,0.6014013886478137,0.2385233087552675,0.6830601092896175,54,3.925925925925926,Gnegative,0.5,2
0.0801435406698564,0.5454545454545454,0.5546301000914478,0.2486314691234079,0.6417112299465241,36,3.7777777777777777,Gnegative,0.5,3
0.0771531100478468,0.5741626794258373,0.5659088295602985,0.237288600471684,0.6596306068601583,31,4.096774193548387,Gnegative,0.5,4
0.0687799043062201,0.583732057416268,0.6014252810316428,0.248776432141484,0.6891891891891891,46,4.760869565217392,Gnegative,0.6667,0
0.0846291866028708,0.562200956937799,0.542171036100208,0.2336183744433215,0.6329442282749675,30,4.266666666666667,Gnegative,0.6667,1
0.0681818181818181,0.6267942583732058,0.6442994381978927,0.291639614368714,0.7038961038961039,45,4.711111111111111,Gnegative,0.6667,2
0.0867224880382775,0.5526315789473685,0.5477427563688755,0.2488497699172289,0.6282051282051282,30,4.233333333333333,Gnegative,0.6667,3
0.0702751196172248,0.5741626794258373,0.5935729675705981,0.261742172033413,0.6785225718194254,31,4.451612903225806,Gnegative,0.6667,4
0.0904195011337868,0.1496598639455782,0.1598630831643002,0.0679513184584178,0.2238442822384428,32,5.25,Plant,0.25,0
0.0901360544217687,0.0850340136054421,0.1095699851764529,0.0465401276789785,0.1358695652173913,56,4.035714285714286,Plant,0.25,1
0.0870181405895691,0.0986394557823129,0.1262297275598137,0.0386788048552754,0.1589041095890411,45,4.4,Plant,0.25,2
0.0875850340136054,0.1054421768707483,0.1414280678663024,0.0455689124965054,0.1715817694369973,64,4.390625,Plant,0.25,3
0.082766439909297,0.0952380952380952,0.1404292013718765,0.0448205128205128,0.160919540229885,67,4.298507462686567,Plant,0.25,4
0.0915532879818594,0.1292517006802721,0.1322244450180691,0.0519704009636895,0.1945137157107231,42,5.119047619047619,Plant,0.3333,0
0.0890022675736961,0.0884353741496598,0.1148259423771354,0.0477899293688767,0.1420765027322404,59,4.864406779661017,Plant,0.3333,1
0.0875850340136054,0.1258503401360544,0.1471210973365338,0.0458369245133951,0.1932114882506527,38,5.0,Plant,0.3333,2
0.086734693877551,0.1598639455782313,0.1885448932971683,0.064420040195234,0.2425742574257425,52,5.076923076923077,Plant,0.3333,3
0.0821995464852607,0.119047619047619,0.1631237761298486,0.0524879763226045,0.1944444444444444,49,4.979591836734694,Plant,0.3333,4
0.0907029478458049,0.1462585034013605,0.1627295918367347,0.0707482993197278,0.2233009708737864,42,5.880952380952381,Plant,0.5,0
0.0932539682539682,0.1462585034013605,0.1479929269667841,0.0592451027233635,0.211031175059952,51,6.2745098039215685,Plant,0.5,1
0.0881519274376417,0.1156462585034013,0.1515845704759055,0.054010866091403,0.1837270341207349,41,5.878048780487805,Plant,0.5,2
0.0870181405895691,0.1632653061224489,0.1887127287338233,0.0629649595687331,0.2457002457002457,32,6.03125,Plant,0.5,3
0.0836167800453514,0.1224489795918367,0.1636859955331292,0.0538961038961038,0.1961852861035422,43,5.8604651162790695,Plant,0.5,4
0.0912698412698412,0.1326530612244898,0.1397820037105751,0.0567305710162853,0.1990049751243781,48,6.5625,Plant,0.6667,0
0.0966553287981859,0.1972789115646258,0.166265644984294,0.0664853862544922,0.2570806100217865,39,7.102564102564102,Plant,0.6667,1
0.0870181405895691,0.1088435374149659,0.1410538506079907,0.0484848484848484,0.1725067385444744,62,6.516129032258065,Plant,0.6667,2
0.0884353741496598,0.1598639455782313,0.1843196451936213,0.0612895103455627,0.2390243902439024,40,6.675,Plant,0.6667,3
0.0824829931972789,0.1496598639455782,0.1865102639296187,0.0601173020527859,0.2362204724409448,53,6.90566037735849,Plant,0.6667,4
0.19559228650137742,0.19559228650137742,0.5701791743612475,0.36750288246196705,0.6370938298649143,65,3.707692307692308,yeast,0.25,0
0.190181031090122,0.24242424242424243,0.5999796856151077,0.38606045218974333,0.6672404888965399,59,4.237288135593221,yeast,0.25,1
0.19086973632428178,0.20385674931129477,0.5912874528382736,0.38368906811646114,0.6598877980364657,45,4.377777777777778,yeast,0.25,2
0.19470680834317197,0.2162534435261708,0.5922499404070981,0.3927589295651569,0.6623443098447364,86,4.27906976744186,yeast,0.25,3
0.19716646989374262,0.22865013774104684,0.5876013695379197,0.3803238263467525,0.6594153636981646,44,4.568181818181818,yeast,0.25,4
0.19618260527351436,0.2231404958677686,0.587424754293986,0.3797334123989654,0.6553750432077429,73,5.616438356164384,yeast,0.3333,0
0.1878197560015742,0.23415977961432508,0.6059358004265198,0.39256429179446417,0.6712588255553642,53,4.471698113207547,yeast,0.3333,1
0.19254230617866983,0.22451790633608815,0.5957992509116651,0.38890972328257495,0.6646101113967438,39,5.051282051282051,yeast,0.3333,2
0.19687131050767415,0.2190082644628099,0.5869939358612414,0.38862995463264555,0.6580071782601264,83,5.156626506024097,yeast,0.3333,3
0.1974616292798111,0.22865013774104684,0.5890523173529119,0.3862177198513992,0.6556870818322182,30,5.6,yeast,0.3333,4
0.1974616292798111,0.2231404958677686,0.5922363924944993,0.39322024096058017,0.6543826416394007,59,6.3559322033898304,yeast,0.5,0
0.1929358520267611,0.25068870523415976,0.604568833853535,0.3910992659797122,0.6700319703853272,46,7.108695652173913,yeast,0.5,1
0.19451003541912631,0.23415977961432508,0.5981553456175959,0.396727577530052,0.6624551818337032,65,5.446153846153846,yeast,0.5,2
0.2001180637544274,0.24793388429752067,0.5967139952391504,0.4059543706529428,0.6611129623458847,34,6.794117647058823,yeast,0.5,3
0.2002164502164502,0.24242424242424243,0.5884971066951934,0.3841100864001256,0.6565400843881857,33,6.393939393939394,yeast,0.5,4
0.19952774498229045,0.2369146005509642,0.5906216740116518,0.39193779571078907,0.6510667584308327,51,8.333333333333334,yeast,0.6667,0
0.1913616686343959,0.2713498622589532,0.6083542959563641,0.4012997398390203,0.6696110073042296,31,6.580645161290323,yeast,0.6667,1
0.1905745769382133,0.2548209366391185,0.6083633575168624,0.40503601678619117,0.672859314305016,59,7.186440677966102,yeast,0.6667,2
0.19805194805194806,0.2465564738292011,0.5947691561436115,0.403663344802318,0.6597938144329897,62,8.016129032258064,yeast,0.6667,3
0.1982487209759937,0.2534435261707989,0.5900754213095296,0.38665255305362717,0.6577204008833022,34,7.0,yeast,0.6667,4
