method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,1.2461357000001954,15.0,2.8,0.75,5.0,29.0,0.0,0.14222222222222222,0.6,0.8689835853839339,0.8691885201034714,0.8688524590163934,syn_c
BR,0,0.1602615000001606,,,,,,,0.14222222222222222,0.48,0.8679955925554766,0.8677967753834822,0.8677685950413223,syn_c
CC,0,0.1571579000001293,,,,,,,0.18222222222222223,0.56,0.8328054908610779,0.8327128867985029,0.8326530612244898,syn_c
LP,0,0.033273000000008324,,,,,,,0.14,0.6533333333333333,0.8721330918769122,0.8710530678227307,0.87374749498998,syn_c
RAkELD,0,0.06236259999968752,,,,,,,0.14666666666666667,0.56,0.8684247987023879,0.8686574050010442,0.8690476190476191,syn_c
RAkELO,0,0.44052520000059303,15.0,,,,,,0.13555555555555557,0.5733333333333334,0.8753396864253657,0.8734372267878999,0.8747433264887063,syn_c
GALS,1,1.6056805999996868,28.0,2.6785714285714284,0.75,5.0,29.0,0.0,0.15555555555555556,0.49333333333333335,0.837932856083541,0.8370039682539682,0.8387096774193549,syn_c
BR,1,0.16194029999951454,,,,,,,0.19555555555555557,0.4266666666666667,0.8037908212498597,0.804106040564374,0.8035714285714286,syn_c
CC,1,0.1592932000003202,,,,,,,0.17333333333333334,0.56,0.8251908436407916,0.823827145863822,0.8266666666666667,syn_c
LP,1,0.03253649999987829,,,,,,,0.21777777777777776,0.5333333333333333,0.7877974804611078,0.7865102419398484,0.7878787878787878,syn_c
RAkELD,1,0.0562737999998717,,,,,,,0.14888888888888888,0.49333333333333335,0.8499778655260998,0.8497795266474943,0.8501118568232662,syn_c
RAkELO,1,0.5859717000003002,28.0,,,,,,0.15777777777777777,0.5466666666666666,0.837887023550509,0.8376204352616606,0.8382687927107062,syn_c
GALS,2,1.4584866000004695,23.0,2.652173913043478,0.75,5.0,29.0,0.0,0.14888888888888888,0.5466666666666666,0.8618295150003692,0.8613303026549509,0.8618556701030928,syn_c
BR,2,0.1651038999998491,,,,,,,0.18888888888888888,0.4266666666666667,0.8211456951201532,0.8213686176224876,0.8210526315789474,syn_c
CC,2,0.16351469999972323,,,,,,,0.1688888888888889,0.6,0.8358420468420467,0.836823176823177,0.8369098712446352,syn_c
LP,2,0.02983360000052926,,,,,,,0.21555555555555556,0.52,0.7965709288925988,0.7970981179536633,0.7966457023060797,syn_c
RAkELD,2,0.061401300000397896,,,,,,,0.19333333333333333,0.44,0.8232111834505814,0.8239421026014733,0.8228105906313645,syn_c
RAkELO,2,0.6059462000002895,23.0,,,,,,0.17333333333333334,0.52,0.8396355823727812,0.8400508962255951,0.8401639344262295,syn_c
