method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
BR,6,0.5762890000005427,,,,,,,0.23002421307506055,0.2542372881355932,0.7437082036362522,0.6589313603564909,0.7545219638242894,flags
CC,6,0.6037515000007261,,,,,,,0.22518159806295399,0.2711864406779661,0.7436160193244665,0.6661272393502179,0.7584415584415585,flags
LP,6,0.10297349999927974,,,,,,,0.24939467312348668,0.3220338983050847,0.7286104473276206,0.6565039687353869,0.7338501291989664,flags
RAkELD,6,0.2650505000001431,,,,,,,0.24455205811138014,0.23728813559322035,0.7225982825193377,0.6397551134722599,0.7362924281984334,flags
RAkELO,6,3.080204500000036,31.0,,,,,,0.22033898305084745,0.3220338983050847,0.7581373541200903,0.6781089223350537,0.7672634271099744,flags
ACkELD,6,0.21390319999954954,,,,,,,0.23486682808716708,0.2542372881355932,0.7479041679303646,0.671289775469342,0.7531806615776081,flags
ACkELO,6,3.208637699999599,31.0,,,,,,0.22518159806295399,0.3389830508474576,0.7628851220754054,0.6866519167271046,0.7680798004987531,flags
GALS,7,7.172935500000676,27.0,3.037037037037037,0.75,13.0,50.0,0.0,0.24455205811138014,0.23728813559322035,0.7424454646777751,0.654651017852035,0.7430025445292621,flags
BR,7,0.6014300999995612,,,,,,,0.21549636803874092,0.288135593220339,0.7621085896899633,0.6696952526112284,0.7688311688311689,flags
CC,7,0.5863595999999234,,,,,,,0.24455205811138014,0.23728813559322035,0.7383451421719227,0.6439526670087072,0.7376623376623377,flags
LP,7,0.09416629999941506,,,,,,,0.26150121065375304,0.288135593220339,0.7239024229853436,0.6547623244608968,0.7172774869109948,flags
RAkELD,7,0.26784130000123696,,,,,,,0.24939467312348668,0.22033898305084745,0.7382905935658298,0.6544293790496657,0.7365728900255755,flags
RAkELO,7,2.4430664999999863,27.0,,,,,,0.25181598062953997,0.23728813559322035,0.7308244410298859,0.639883215455314,0.7346938775510204,flags
ACkELD,7,0.2033962999994401,,,,,,,0.2469733656174334,0.2711864406779661,0.7394443734612809,0.6590314948209685,0.7437185929648241,flags
ACkELO,7,2.7505216999998083,27.0,,,,,,0.2397094430992736,0.22033898305084745,0.7629332020120253,0.672583018236389,0.7602905569007264,flags
GALS,8,3.968189100000018,15.0,2.6,0.75,7.0,30.0,0.0,0.24213075060532688,0.23728813559322035,0.7272150725874428,0.6504605396632178,0.7435897435897436,flags
BR,8,0.5778996999997617,,,,,,,0.2179176755447942,0.2542372881355932,0.7604670472627911,0.7157249839067947,0.7704081632653061,flags
CC,8,0.5989061999989644,,,,,,,0.22518159806295399,0.2711864406779661,0.752973136944769,0.7045578281064783,0.7621483375959079,flags
LP,8,0.1033806999985245,,,,,,,0.2687651331719128,0.3220338983050847,0.7065245640178398,0.6383462853940379,0.7101827676240209,flags
RAkELD,8,0.2707198999996763,,,,,,,0.24939467312348668,0.2542372881355932,0.7319097979022644,0.679848360158431,0.7418546365914787,flags
RAkELO,8,1.3641884999997274,15.0,,,,,,0.23728813559322035,0.22033898305084745,0.7396148441813843,0.6689694432669079,0.751269035532995,flags
ACkELD,8,0.1986306999988301,,,,,,,0.2397094430992736,0.288135593220339,0.735503591453581,0.6722726270281033,0.7441860465116279,flags
ACkELO,8,1.4374781000005896,15.0,,,,,,0.29539951573849876,0.11864406779661017,0.5846726082639501,0.5922575004844706,0.6611111111111111,flags
GALS,9,5.250671699999657,20.0,2.85,0.75,11.0,40.0,0.0,0.25907990314769974,0.1864406779661017,0.740118954692915,0.6601079840803317,0.7540229885057471,flags
BR,9,0.5649786000012682,,,,,,,0.25907990314769974,0.13559322033898305,0.7324675244865702,0.6472964913636384,0.7517401392111369,flags
CC,9,0.5645537000000331,,,,,,,0.28329297820823246,0.13559322033898305,0.6994729863910678,0.6142003833096262,0.7180722891566265,flags
LP,9,0.09641179999925953,,,,,,,0.28329297820823246,0.2033898305084746,0.7005897308982608,0.6247025689143916,0.7125307125307125,flags
RAkELD,9,0.2547147999994195,,,,,,,0.25907990314769974,0.11864406779661017,0.7244068702746579,0.6357449231007666,0.7421686746987952,flags
RAkELO,9,1.7488730999994004,20.0,,,,,,0.25907990314769974,0.1864406779661017,0.7324703053965358,0.6537442563232191,0.7494145199063232,flags
ACkELD,9,0.18437989999983984,,,,,,,0.2687651331719128,0.1694915254237288,0.715243099709772,0.6326646491059466,0.7338129496402878,flags
ACkELO,9,1.8831798999999592,20.0,,,,,,0.288135593220339,0.1694915254237288,0.6468447166561698,0.5682178361293599,0.7159904534606205,flags
